City_ID,City,Country,Lat,Lng,Maximum Hemperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather description
184,Thiruvananthapuram,IN,8.48,76.92,86.0,79,75,4.7,broken clouds
185,Krasnyy Kholm,RU,58.06,37.12,58.59,83,80,6.71,broken clouds
186,Richards Bay,ZA,-28.78,32.04,63.73,70,0,15.93,clear sky
187,Talnakh,RU,69.49,88.4,68.0,60,40,8.95,scattered clouds
188,Namibe,AO,-15.2,12.15,67.69,64,0,7.11,clear sky
189,Hervey Bay,AU,-25.3,152.85,68.0,58,85,3.0,overcast clouds
190,Buchanan,LR,5.88,-10.05,73.71,83,93,4.52,overcast clouds
191,Halifax,CA,44.65,-63.57,64.99,70,39,6.62,scattered clouds
192,Bilgoraj,PL,50.54,22.72,66.0,79,100,3.0,overcast clouds
193,Faya,SA,18.39,42.45,69.8,77,40,8.05,scattered clouds
194,Taixing,CN,32.17,120.01,100.0,50,43,3.0,scattered clouds
195,Meulaboh,ID,4.14,96.13,85.12,65,97,5.37,overcast clouds
196,Carnarvon,AU,-24.87,113.63,66.2,72,90,11.41,overcast clouds
197,Mar Del Plata,AR,-38.0,-57.56,46.99,93,65,2.24,mist
198,Palembang,ID,-2.92,104.75,87.8,66,75,10.29,broken clouds
199,Banda Aceh,ID,5.56,95.32,86.29,65,100,18.03,overcast clouds
200,Nagato,JP,34.38,131.2,86.0,83,75,12.75,mist
201,Lavrentiya,RU,65.58,-171.0,47.01,67,95,11.72,overcast clouds
202,Tazovskiy,RU,67.47,78.7,65.46,65,61,13.35,broken clouds
203,Kaeo,NZ,-35.1,173.78,57.0,3,72,1.99,light rain
204,Visnes,NO,59.36,5.22,57.0,76,40,17.22,scattered clouds
205,Portland,US,45.52,-122.68,71.6,49,75,9.17,broken clouds
206,Flinders,AU,-34.58,150.86,66.0,39,100,5.01,overcast clouds
207,Murgab,TM,37.5,61.97,87.8,31,0,4.7,clear sky
208,Ettenheim,DE,48.25,7.82,66.0,90,54,1.32,broken clouds
209,Alofi,NU,-19.06,-169.92,75.2,88,100,5.82,overcast clouds
210,Terrace Bay,CA,48.78,-87.1,53.69,77,58,9.24,broken clouds
211,Dingle,PH,11.0,122.67,89.06,63,82,5.84,broken clouds
212,Nouadhibou,MR,20.93,-17.03,71.6,88,0,21.92,clear sky
213,Chuy,UY,-33.7,-53.46,58.26,94,68,3.78,broken clouds
214,Ponta Delgada,PT,37.73,-25.67,69.8,77,40,6.93,scattered clouds
215,Novyy Urengoy,RU,66.08,76.63,77.74,48,69,20.4,broken clouds
216,Airai,TL,-8.93,125.41,71.13,56,35,3.22,scattered clouds
217,Ambulu,ID,-8.35,113.61,82.54,63,75,8.68,broken clouds
218,Valdosta,US,30.83,-83.28,78.8,78,1,6.11,clear sky
219,Tsuruoka,JP,38.72,139.82,82.4,78,75,10.29,broken clouds
220,Rockledge,US,28.35,-80.73,81.0,74,40,21.92,scattered clouds
221,Kodiak,US,57.79,-152.41,62.6,63,75,8.05,broken clouds
222,Brae,GB,60.4,-1.35,51.8,93,20,13.87,few clouds
223,Saint Anthony,US,45.02,-93.22,60.8,87,1,4.65,clear sky
224,Bereda,ES,43.27,-7.54,55.0,100,62,1.01,broken clouds
225,Maxixe,MZ,-23.86,35.35,69.8,88,75,4.7,broken clouds
226,Dalvik,IS,65.97,-18.53,48.2,93,90,4.7,drizzle
227,Pevek,RU,69.7,170.31,38.5,91,100,3.0,overcast clouds
228,Yeppoon,AU,-23.13,150.73,73.4,43,90,8.05,overcast clouds
229,Xai-Xai,MZ,-25.05,33.64,63.79,71,0,3.22,clear sky
230,Sioux Lookout,CA,50.1,-91.92,50.0,93,20,1.88,few clouds
231,Along,IN,28.17,94.77,98.19,42,14,2.37,few clouds
232,Filimonovo,RU,56.2,95.46,76.48,56,94,5.32,light rain
233,Butembo,CD,0.15,29.28,63.97,73,30,3.78,scattered clouds
234,Saint-Joseph,RE,-21.37,55.62,69.8,64,90,18.34,overcast clouds
235,Spassk-Ryazanskiy,RU,54.41,40.38,62.01,74,12,1.01,few clouds
236,Dongsheng,CN,39.82,109.98,82.17,20,0,8.75,clear sky
237,Homer,US,59.64,-151.55,59.0,87,90,5.82,overcast clouds
238,Los Llanos De Aridane,ES,28.66,-17.92,77.0,88,75,17.22,broken clouds
239,Muriti,TZ,-1.98,32.92,62.6,63,0,16.11,clear sky
240,Mamallapuram,IN,12.63,80.17,86.0,66,75,9.17,broken clouds
241,Swellendam,ZA,-34.02,20.44,46.4,100,0,5.82,clear sky
242,Bosaso,SO,11.28,49.18,93.2,38,71,23.04,broken clouds
243,Lagunas,PE,-5.23,-75.68,71.13,79,0,1.07,clear sky
244,Saldanha,ZA,-33.01,17.94,50.0,93,10,2.24,clear sky
245,Ilulissat,GL,69.22,-51.1,41.0,80,14,3.36,few clouds
246,Port Blair,IN,11.67,92.75,83.61,79,100,28.05,moderate rain
247,Rawson,AR,-43.3,-65.1,50.0,63,86,22.41,overcast clouds
248,Eyl,SO,7.98,49.82,87.89,44,32,32.32,scattered clouds
249,Inhambane,MZ,-23.86,35.38,69.8,88,75,4.7,broken clouds
250,Rafsanjan,IR,30.41,55.99,93.88,17,0,1.97,clear sky
251,Aneho,TG,6.23,1.6,75.2,83,20,9.17,few clouds
252,Bubaque,GW,11.28,-15.83,77.04,90,100,10.02,moderate rain
253,Tabou,CI,4.42,-7.35,71.46,80,95,2.44,overcast clouds
254,Cabo San Lucas,MX,22.89,-109.91,84.99,58,5,11.41,clear sky
255,Bafra,TR,41.57,35.91,68.0,88,40,4.25,scattered clouds
256,Neuquen,AR,-38.95,-68.06,48.2,66,86,6.93,overcast clouds
257,Henties Bay,NA,-22.12,14.28,69.01,17,0,5.01,clear sky
258,Riyadh,SA,24.69,46.72,98.6,16,3,10.29,clear sky
259,Bayevo,RU,53.28,80.77,78.44,52,0,16.58,clear sky
260,Kenai,US,60.55,-151.26,57.2,87,90,3.36,light rain
261,Gazanjyk,TM,39.24,55.52,96.44,15,0,3.71,clear sky
262,Nikolskoye,RU,59.7,30.79,60.8,82,40,4.47,scattered clouds
263,Mahebourg,MU,-20.41,57.7,69.8,64,75,17.22,broken clouds
264,Honiara,SB,-9.43,159.95,87.8,70,20,8.05,few clouds
265,Acapulco,MX,16.86,-99.89,81.28,80,100,5.1,overcast clouds
266,Cordoba,AR,-31.41,-64.18,60.01,76,16,6.93,few clouds
267,Norman Wells,CA,65.28,-126.83,71.6,73,75,5.82,shower rain
268,San Ignacio,BZ,17.16,-89.07,79.0,81,99,1.88,light rain
269,Vostok,RU,46.49,135.88,64.22,100,100,4.34,moderate rain
270,Antofagasta,CL,-23.65,-70.4,55.4,76,90,1.12,overcast clouds
271,Kozan,TR,37.46,35.82,87.8,70,40,0.81,scattered clouds
272,Touros,BR,-5.2,-35.46,69.8,94,6,4.7,clear sky
273,Hambantota,LK,6.12,81.12,84.2,83,75,17.22,broken clouds
274,Klaksvik,FO,62.23,-6.59,48.2,100,100,9.17,light rain
275,Asfi,MA,32.3,-9.24,69.26,82,0,13.06,clear sky
276,Aksha,RU,50.28,113.29,71.98,64,95,11.74,light rain
277,Tigil,RU,57.8,158.67,62.64,55,90,15.08,overcast clouds
278,Bentiu,SS,9.23,29.83,75.79,85,65,3.18,broken clouds
279,Nouakchott,MR,18.09,-15.98,82.4,69,8,16.11,clear sky
280,Doka,SD,13.52,35.77,75.56,83,60,9.46,moderate rain
281,Tambura,SS,5.6,27.47,70.75,93,94,1.1,overcast clouds
282,Maceio,BR,-9.67,-35.74,68.0,100,75,2.24,broken clouds
283,Gerash,IR,27.67,54.14,95.0,47,1,2.39,clear sky
284,Stornoway,GB,58.21,-6.39,52.0,93,20,5.82,few clouds
285,Ahuimanu,US,21.44,-157.84,82.4,61,75,14.99,broken clouds
286,Ahipara,NZ,-35.17,173.17,57.15,86,17,6.96,few clouds
287,Okhotsk,RU,59.38,143.3,65.79,59,6,10.92,clear sky
